# Truth table
# Generated from circuit main
# Exported on Thu Nov 07 14:43:05 CET 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

labin[5..0] |       matout[24..0]      
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  000000    | 0000000000000000000000000
  000001    | 1111110100101001010011111
  000010    | 1111110101101011010111011
  000011    | 1111110001100011000110001
  000100    | 1111110001100011000101110
  000101    | 1111110101101011010110101
  000110    | 1111110100101001010010100
  000111    | 1111110001101011010110111
  001000    | 1111100100001000010011111
  001001    | 0000000000111110000000000
  001010    | 0011100001000010000111111
  001011    | 1111100100001000101010001
  001100    | 1111100001000010000100001
  001101    | 1111101000001000100011111
  001110    | 1111101000001000001011111
  001111    | 1111110001100011000111111
  010000    | 1111110100101001010011100
  010001    | 1111110001101011001111111
  010010    | 1111110100101001011011101
  010011    | 1110110101101011010110111
  010100    | 1000010000111111000010000
  010101    | 1111100001000010000111111
  010110    | 1110000010000010001011100
  010111    | 1111100010001000001011111
  011000    | 1000101010001000101010001
  011001    | 1110000100001110010011100
  011010    | 1000110011101011100110001
  011011    | 0000000000111010000000000
  011100    | 0111010001101011000101110
  011101    | 0010001000111110000000000
  011110    | 0100110011101011010101001
  011111    | 0101010001101011010101010
  100000    | 0010001100101001111100100
  100001    | 1110110101101011010110010
  100010    | 0111010101101011010100010
  100011    | 1000010000101111100010000
  100100    | 0101010101101011010101010
  100101    | 0100010101101011010101110
  100110    | 0001010101101011010101110
  100111    | 1111100101001010010100010
  101000    | 0111010001100011000110001
  101001    | 0001000101001010010111111
  101010    | 0111010101101011010101100
  101011    | 0111110100101001000001000
  101100    | 0100010101101011010111110
  101101    | 1111100100001000010000011
  101110    | 0000000000101110000000000
  101111    | 0001000001000010000110110
  110000    | 0000000000111110001000101
  110001    | -------------------------
  110010    | -------------------------
  110011    | -------------------------
  110100    | -------------------------
  110101    | -------------------------
  110110    | -------------------------
  110111    | -------------------------
  111000    | -------------------------
  111001    | -------------------------
  111010    | -------------------------
  111011    | -------------------------
  111100    | -------------------------
  111101    | -------------------------
  111110    | -------------------------
  111111    | -------------------------
